จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,,Last Update:
กรุงเทพมหานคร,2,8,ไทยสร้างไทย,664,0.82174,84550,61.95002,80804,1432,2314,220,94.82759,FALSE,,,
กรุงเทพมหานคร,2,9,ไทยก้าวใหม่,601,0.74378,84550,61.95002,80804,1432,2314,220,94.82759,FALSE,,,
กรุงเทพมหานคร,2,10,เสรีรวมไทย,365,0.45171,84550,61.95002,80804,1432,2314,220,94.82759,FALSE,,,
กรุงเทพมหานคร,3,1,ประชาชน,34103,45.46642,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,2,ภูมิใจไทย,14769,19.69016,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,3,ประชาธิปัตย์,12071,16.09316,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,4,เพื่อไทย,5399,7.19799,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,5,ไทยภักดี,1605,2.1398,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,6,รวมไทยสร้างชาติ,1557,2.07581,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,7,เศรษฐกิจ,1233,1.64385,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,8,ไทยก้าวใหม่,603,0.80392,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
กรุงเทพมหานคร,3,9,ไทยสร้างไทย,552,0.73593,78327,63.89972,75007,1381,1939,206,94.93088,FALSE,,,
