จังหวัด,เขตเลือกตั้งที่,ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,เห็นชอบ,ไม่เห็นชอบ,ไม่แสดงความคิดเห็น,ร้อยละเห็นชอบ,ร้อยละไม่เห็นชอบ,ร้อยละไม่แสดงความคิดเห็น,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,,Last Update:
อุทัยธานี,2,75508,56.11558,73432,2076,36538,29012,7882,49.7576,39.50866,10.73374,293,94.82201,FALSE,,
อุบลราชธานี,1,86507,65.26663,84900,1607,52670,25067,7163,62.03769,29.52532,8.43698,233,94.71545,FALSE,,
อุบลราชธานี,2,84935,62.19201,82585,2350,45735,28403,8447,55.37931,34.39244,10.22825,270,94.73684,FALSE,,
อุบลราชธานี,3,81364,58.21986,79179,2185,42631,28061,8487,53.8413,35.43995,10.71875,316,94.89489,FALSE,,
อุบลราชธานี,4,101239,67.3257,98781,2458,62224,27463,9094,62.99187,27.80191,9.20622,289,94.7541,FALSE,,
อุบลราชธานี,5,75141,57.33153,73231,1910,40204,26396,6631,54.90025,36.04484,9.05491,304,95,TRUE,,
อุบลราชธานี,6,74461,56.39233,71708,2753,39822,25227,6659,55.53355,35.18018,9.28627,262,94.92754,FALSE,,
อุบลราชธานี,7,80119,61.02631,77500,2619,43838,26264,7398,56.56516,33.88903,9.54581,268,94.69965,FALSE,,
อุบลราชธานี,8,82409,60.00583,79662,2747,42569,29021,8072,53.43702,36.43017,10.13281,278,94.88055,FALSE,,
อุบลราชธานี,9,74007,56.84975,71809,2198,40170,24986,6653,55.94006,34.79508,9.26486,229,94.6281,FALSE,,
อุบลราชธานี,10,78485,55.55162,75933,2552,40343,27970,7620,53.12973,36.8351,10.03516,303,94.98433,FALSE,,
อุบลราชธานี,11,77533,57.27403,75303,2230,40563,27458,7282,53.86638,36.46335,9.67027,232,94.69388,FALSE,,
อ่างทอง,1,79402,71.10669,76843,2559,44347,24513,7983,57.71118,31.90011,10.38871,234,94.73684,FALSE,,
อ่างทอง,2,79871,71.04507,77148,2723,44164,24481,8503,57.24581,31.73251,11.02167,241,94.88189,FALSE,,
