จังหวัด,เขตเลือกตั้งที่,ผู้มาใช้สิทธิ์ ส.ส. เขต,ผู้มาใช้สิทธิ์ บัญชีรายชื่อ,ผลต่าง บัตร,พรรคชนะ ส.ส. เขต,พรรคชนะ บัญชีรายชือ,ผลต่าง เขต ที่ 1 - ที่ 2,ผลต่าง บัญชีรายชื่อ ที่ 1 - ที่ 2,,Last Update:
อ่างทอง,2,81967,79098,2869,ภูมิใจไทย,ภูมิใจไทย,44122,8332,,
เชียงราย,1,95437,95416,21,เพื่อไทย,ประชาชน,9620,12861,,
เชียงราย,2,94416,95184,-768,เพื่อไทย,ประชาชน,9107,2412,,
เชียงราย,3,93836,93589,247,กล้าธรรม,ประชาชน,8627,5151,,
เชียงราย,4,93963,93649,314,กล้าธรรม,ประชาชน,4909,382,,
เชียงราย,5,87285,87142,143,ภูมิใจไทย,เพื่อไทย,34009,5049,,
เชียงราย,6,80489,80471,18,กล้าธรรม,ประชาชน,3309,12239,,
เชียงราย,7,93070,93199,-129,กล้าธรรม,ประชาชน,7788,1691,,
เชียงใหม่,1,89928,90584,-656,ประชาชน,ประชาชน,21658,23458,,
เชียงใหม่,2,99960,100947,-987,ประชาชน,ประชาชน,19597,19956,,
เชียงใหม่,3,98354,99088,-734,ประชาชน,ประชาชน,15557,13712,,
เชียงใหม่,4,102392,102290,102,ประชาชน,ประชาชน,21844,22826,,
เชียงใหม่,5,91938,91929,9,ประชาชน,ประชาชน,3862,8763,,
เชียงใหม่,6,80199,79718,481,กล้าธรรม,ประชาชน,8705,5615,,
เชียงใหม่,7,92980,93451,-471,กล้าธรรม,ประชาชน,11784,9134,,
เชียงใหม่,8,109425,109758,-333,ประชาชน,ประชาชน,27614,19442,,
เชียงใหม่,9,96398,96179,219,กล้าธรรม,ประชาชน,21087,11470,,
เชียงใหม่,10,88388,88117,271,กล้าธรรม,ประชาชน,2238,6415,,
เพชรบุรี,1,91664,91842,-178,ภูมิใจไทย,ภูมิใจไทย,41167,4138,,
เพชรบุรี,2,97843,97439,404,ภูมิใจไทย,ภูมิใจไทย,46653,9064,,
เพชรบุรี,3,96326,96040,286,ภูมิใจไทย,ภูมิใจไทย,54615,2706,,
เพชรบูรณ์,1,85013,84856,157,ภูมิใจไทย,ประชาชน,27216,2212,,
เพชรบูรณ์,2,89419,89277,142,ภูมิใจไทย,ภูมิใจไทย,995,5614,,
เพชรบูรณ์,3,87766,81943,5823,ภูมิใจไทย,ประชาชน,19353,1373,,
เพชรบูรณ์,4,68161,68127,34,ภูมิใจไทย,ภูมิใจไทย,35555,11272,,
เพชรบูรณ์,5,76316,76947,-631,ภูมิใจไทย,ภูมิใจไทย,26746,1814,,
เพชรบูรณ์,6,86864,87195,-331,ภูมิใจไทย,ภูมิใจไทย,44326,6248,,
เลย,1,89032,89056,-24,เพื่อไทย,เพื่อไทย,23646,4095,,
เลย,2,74929,74598,331,เพื่อไทย,เพื่อไทย,10066,1770,,
เลย,3,81984,81700,284,ภูมิใจไทย,ภูมิใจไทย,34005,5479,,
เลย,4,77330,77378,-48,เพื่อไทย,เพื่อไทย,11015,4859,,
แพร่,1,85567,86403,-836,ภูมิใจไทย,ประชาชน,12632,8175,,
แพร่,2,76409,76230,179,ภูมิใจไทย,ภูมิใจไทย,38642,10374,,
แพร่,3,82810,71774,11036,ประชาชน,เพื่อไทย,2432,1926,,
แม่ฮ่องสอน,1,64490,64530,-40,กล้าธรรม,ประชาชน,15846,19974,,
แม่ฮ่องสอน,2,70279,70448,-169,ภูมิใจไทย,ประชาชน,287,16149,,
,,,,,,,,,,
,,,"""บัตรเขย่ง"" ทั้งหมด",320425,,,,,,
